athlete_id,athlete_name,tournament_date,world_ranking,world_tour_ranking,olympic_rank
83950,PRANNOY H. S.,2010-11-25,486,25,
83950,PRANNOY H. S.,2010-12-02,490,25,
83950,PRANNOY H. S.,2010-12-09,498,25,
83950,PRANNOY H. S.,2010-12-16,499,25,
83950,PRANNOY H. S.,2010-12-23,338,25,
83950,PRANNOY H. S.,2010-12-30,341,25,
83950,PRANNOY H. S.,2011-01-06,341,25,
83950,PRANNOY H. S.,2011-01-13,341,25,
83950,PRANNOY H. S.,2011-01-20,339,25,
83950,PRANNOY H. S.,2011-01-27,340,25,
83950,PRANNOY H. S.,2011-02-03,340,25,
83950,PRANNOY H. S.,2011-02-10,365,25,
83950,PRANNOY H. S.,2011-02-17,365,25,
83950,PRANNOY H. S.,2011-02-24,361,25,
83950,PRANNOY H. S.,2011-03-03,352,25,
83950,PRANNOY H. S.,2011-03-10,349,25,
83950,PRANNOY H. S.,2011-03-17,349,25,
83950,PRANNOY H. S.,2011-03-24,347,25,
83950,PRANNOY H. S.,2011-03-31,349,25,
83950,PRANNOY H. S.,2011-04-07,352,25,
83950,PRANNOY H. S.,2011-04-14,352,25,
83950,PRANNOY H. S.,2011-04-21,352,25,
83950,PRANNOY H. S.,2011-04-28,356,25,
83950,PRANNOY H. S.,2011-05-05,274,25,
83950,PRANNOY H. S.,2011-05-12,275,25,
83950,PRANNOY H. S.,2011-05-19,273,25,
83950,PRANNOY H. S.,2011-05-26,272,25,
83950,PRANNOY H. S.,2011-06-02,271,25,
83950,PRANNOY H. S.,2011-06-09,272,25,
83950,PRANNOY H. S.,2011-06-16,278,25,
83950,PRANNOY H. S.,2011-06-23,278,25,
83950,PRANNOY H. S.,2011-06-30,279,25,
83950,PRANNOY H. S.,2011-07-07,282,25,
83950,PRANNOY H. S.,2011-07-14,281,25,
83950,PRANNOY H. S.,2011-07-21,273,25,
83950,PRANNOY H. S.,2011-07-28,263,25,
83950,PRANNOY H. S.,2011-08-04,261,25,
83950,PRANNOY H. S.,2011-08-11,258,25,
83950,PRANNOY H. S.,2011-08-18,259,25,
83950,PRANNOY H. S.,2011-08-25,259,25,
83950,PRANNOY H. S.,2011-09-02,226,25,
83950,PRANNOY H. S.,2011-09-08,226,25,
83950,PRANNOY H. S.,2011-09-15,222,25,
83950,PRANNOY H. S.,2011-09-22,223,25,
83950,PRANNOY H. S.,2011-09-29,222,25,
83950,PRANNOY H. S.,2011-10-06,187,25,
83950,PRANNOY H. S.,2011-10-13,169,25,
83950,PRANNOY H. S.,2011-10-20,140,25,
83950,PRANNOY H. S.,2011-10-27,142,25,
83950,PRANNOY H. S.,2011-11-03,141,25,
83950,PRANNOY H. S.,2011-11-10,142,25,
83950,PRANNOY H. S.,2011-11-17,105,25,
83950,PRANNOY H. S.,2011-11-24,103,25,
83950,PRANNOY H. S.,2011-12-01,103,25,
83950,PRANNOY H. S.,2011-12-08,103,25,
83950,PRANNOY H. S.,2011-12-15,104,25,
83950,PRANNOY H. S.,2011-12-22,110,25,
83950,PRANNOY H. S.,2011-12-29,101,25,
83950,PRANNOY H. S.,2012-01-05,101,25,
83950,PRANNOY H. S.,2012-01-12,101,25,
83950,PRANNOY H. S.,2012-01-19,101,25,
83950,PRANNOY H. S.,2012-01-26,101,25,
83950,PRANNOY H. S.,2012-02-02,101,25,
83950,PRANNOY H. S.,2012-02-09,100,25,
83950,PRANNOY H. S.,2012-02-16,100,25,
83950,PRANNOY H. S.,2012-02-23,90,25,
83950,PRANNOY H. S.,2012-03-01,90,25,
83950,PRANNOY H. S.,2012-03-08,87,25,
83950,PRANNOY H. S.,2012-03-15,87,25,
83950,PRANNOY H. S.,2012-03-22,86,25,
83950,PRANNOY H. S.,2012-03-29,86,25,
83950,PRANNOY H. S.,2012-04-05,88,25,
83950,PRANNOY H. S.,2012-04-12,89,25,
83950,PRANNOY H. S.,2012-04-19,90,25,
83950,PRANNOY H. S.,2012-04-26,91,25,
83950,PRANNOY H. S.,2012-05-03,94,25,
83950,PRANNOY H. S.,2012-05-10,84,25,
83950,PRANNOY H. S.,2012-05-17,83,25,
83950,PRANNOY H. S.,2012-05-24,84,25,
83950,PRANNOY H. S.,2012-05-31,83,25,
83950,PRANNOY H. S.,2012-06-07,83,25,
83950,PRANNOY H. S.,2012-06-14,83,25,
83950,PRANNOY H. S.,2012-06-21,83,25,
83950,PRANNOY H. S.,2012-06-28,83,25,
83950,PRANNOY H. S.,2012-07-05,85,25,
83950,PRANNOY H. S.,2012-07-12,84,25,
83950,PRANNOY H. S.,2012-07-19,84,25,
83950,PRANNOY H. S.,2012-07-26,84,25,
83950,PRANNOY H. S.,2012-08-02,84,25,
83950,PRANNOY H. S.,2012-08-09,84,25,
83950,PRANNOY H. S.,2012-08-16,82,25,
83950,PRANNOY H. S.,2012-08-23,82,25,
